company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,max_confidence,tier,next_action,reason
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_INTEREST,1,-281.322,135,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_MARGIN,1,-43.9642,141,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00042.HK,NE ELECTRIC,2025,Q_G_REVENUE_GROWTH,1,4.9405,135,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00061.HK,GREEN LEADER,2025,Q_G_REVENUE_GROWTH,1,28.0312,82,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CAPITAL_ACCUMULATION,1,-27.3758,88,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CASH_CURRENT_LIABILITY,1,-14.4056,90,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CURRENT_ASSET_TURNOVER,1,1.4553,87,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_QUICK_RATIO,1,139.118,87,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_REVENUE_GROWTH,1,-10.7122,85,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_ROE,1,-47.0432,88,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00135.HK,KUNLUN ENERGY,2025,Q_G_CAPITAL_ACCUMULATION,1,3.8746,101,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00135.HK,KUNLUN ENERGY,2025,Q_G_DEBT_ASSET_RATE,1,35.9717,102,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00135.HK,KUNLUN ENERGY,2025,Q_S_DIVIDEND_PER_SHARE,1,0.3158,7,0.95,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_CAPITAL_ACCUMULATION,1,-2.8503,60,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_DEBT_ASSET_RATE,1,73.9046,59,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_EBITDA_INTEREST,1,1.4296,55,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_ROA,1,2.7752,58,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00182.HK,CONCORD NE,2025,Q_G_ROE,1,1.7841,60,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_E_GHG_REDUCTION_RATE,1,31.7124,75,0.93,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00196.HK,HONGHUA GROUP,2025,Q_E_HAZ_WASTE_INTENSITY,2,10,35|74,0.91,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00196.HK,HONGHUA GROUP,2025,Q_E_SOLID_WASTE_INTENSITY,2,30,35|74,0.91,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00196.HK,HONGHUA GROUP,2025,Q_E_WATER_INTENSITY,2,630,40|75,0.9,auto_policy_eligible,run_resolve_pending,official_esg_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_ASSET_TURNOVER,1,0.4477,77,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_DEBT_ASSET_RATE,1,71.1288,78,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_OPERATING_MARGIN,1,3.1377,75,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_OPERATING_PROFIT_GROWTH,1,16.3215,75,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00196.HK,HONGHUA GROUP,2025,Q_G_REVENUE_GROWTH,1,-2.4866,75,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00206.HK,CM-ENERGY,2025,Q_G_CAPITAL_ACCUMULATION,1,2.2929,210,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00206.HK,CM-ENERGY,2025,Q_G_ROE,1,0.9785,210,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_AR_TURNOVER,1,1.9406,77,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_CAPITAL_ACCUMULATION,1,19.3007,78,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.7512,77,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_EBITDA_INTEREST,1,2.6354,75,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_REVENUE_GROWTH,1,-21.9403,75,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00228.HK,CHINA ENERGY,2025,Q_G_ROE,1,1.1445,78,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00276.HK,MONGOLIA ENERGY,2026,Q_G_REVENUE_GROWTH,1,-29.4937,62,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_ASSET_TURNOVER,1,0.0708,122,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.1508,122,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_DEBT_ASSET_RATE,1,53.7893,7,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_EBITDA_INTEREST,1,-1.1964,122,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_REVENUE_GROWTH,1,-18.2081,122,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00295.HK,KONG SUN HOLD,2025,Q_G_ROA,1,-2.5822,122,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00332.HK,YUANHENGGAS-NEW,2025,Q_E_GHG_REDUCTION_RATE,1,-12.0504,47,0.93,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00332.HK,YUANHENGGAS-NEW,2026,Q_G_CAPITAL_ACCUMULATION,1,-10.5594,190,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00332.HK,YUANHENGGAS-NEW,2026,Q_G_EBITDA_INTEREST,1,-0.1853,63,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00332.HK,YUANHENGGAS-NEW,2026,Q_G_ROE,1,-62.8291,190,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_AR_TURNOVER,1,22.1717,59,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_ASSET_TURNOVER,1,6.2282,59,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_CAPITAL_ACCUMULATION,1,-55.2971,59,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_DEBT_ASSET_RATE,1,78.9713,60,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00346.HK,YANCHANG PETRO,2025,Q_G_REVENUE_GROWTH,1,-40.6319,57,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00353.HK,ENERGY INTINV,2024,Q_G_CAPITAL_ACCUMULATION,1,32.9297,67,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00384.HK,CHINA GAS HOLD,2025,Q_G_CAPITAL_ACCUMULATION,1,6.6811,101,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00451.HK,GCL NEWENERGY,2025,Q_E_ENERGY_INTENSITY,3,6,6|46|74,0.9,auto_policy_eligible,run_resolve_pending,official_esg_direct_consistent
00451.HK,GCL NEWENERGY,2025,Q_E_GHG_INTENSITY,2,12.4,43|74,0.92,auto_policy_eligible,run_resolve_pending,official_esg_direct_consistent
00451.HK,GCL NEWENERGY,2025,Q_E_HAZ_WASTE_INTENSITY,1,0.0003,74,0.91,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00451.HK,GCL NEWENERGY,2025,Q_E_WATER_INTENSITY,2,349.5,48|74,0.9,auto_policy_eligible,run_resolve_pending,official_esg_direct_consistent
00451.HK,GCL NEWENERGY,2025,Q_G_CAPITAL_ACCUMULATION,1,-14.3634,79,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00451.HK,GCL NEWENERGY,2025,Q_G_EBITDA_INTEREST,1,-24.5593,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00451.HK,GCL NEWENERGY,2025,Q_G_REVENUE_GROWTH,1,-4.0792,76,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00451.HK,GCL NEWENERGY,2025,Q_G_ROE,1,-25.6141,79,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00451.HK,GCL NEWENERGY,2025,Q_S_RD_RATE,1,2.9052,76,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00467.HK,UNITEDENERGY GP,2025,Q_G_CAPITAL_ACCUMULATION,1,-0.8315,59,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00467.HK,UNITEDENERGY GP,2025,Q_G_CASH_CURRENT_LIABILITY,1,50.2238,61,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00467.HK,UNITEDENERGY GP,2025,Q_G_EBITDA_INTEREST,1,5.0358,56,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00467.HK,UNITEDENERGY GP,2025,Q_G_QUICK_RATIO,1,98.7525,58,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00467.HK,UNITEDENERGY GP,2025,Q_G_ROE,1,8.4374,59,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00554.HK,HANS GP HLDGS,2025,Q_G_CAPITAL_ACCUMULATION,1,109.363,109,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00579.HK,JNCEC,2025,Q_G_CAPITAL_ACCUMULATION,1,4.9086,102,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00579.HK,JNCEC,2025,Q_G_EBITDA_INTEREST,1,4.0123,98,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00579.HK,JNCEC,2025,Q_G_EBITDA_MARGIN,1,42.0827,106,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00579.HK,JNCEC,2025,Q_G_OPERATING_MARGIN,1,23.1311,98,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00579.HK,JNCEC,2025,Q_G_OPERATING_PROFIT_GROWTH,1,-8.2116,98,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00579.HK,JNCEC,2025,Q_G_REVENUE_GROWTH,1,1.5335,98,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00579.HK,JNCEC,2025,Q_G_ROE,1,8.038,102,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00579.HK,JNCEC,2025,Q_S_RD_RATE,2,3.67,4|8,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00600.HK,AXERA,2025,Q_E_GHG_REDUCTION_RATE,1,4.2298,77,0.93,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00632.HK,CHK OIL,2025,Q_E_GHG_REDUCTION_RATE,1,51.5883,30,0.93,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00632.HK,CHK OIL,2025,Q_G_AR_TURNOVER,1,11.0614,70,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00632.HK,CHK OIL,2025,Q_G_CAPITAL_ACCUMULATION,1,13.2002,71,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00632.HK,CHK OIL,2025,Q_G_REVENUE_GROWTH,1,-61.6022,4,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00639.HK,SHOUGANG RES,2025,Q_G_CAPITAL_ACCUMULATION,1,-1.3808,359,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00639.HK,SHOUGANG RES,2025,Q_G_CASH_CURRENT_LIABILITY,1,435.454,359,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00645.HK,ARES ASIA,2025,Q_G_CAPITAL_ACCUMULATION,1,-16.0905,65,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_AR_TURNOVER,1,2.9186,219,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_CAPITAL_ACCUMULATION,1,-17.5138,221,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_EBITDA_INTEREST,1,-26.5256,216,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_REVENUE_GROWTH,1,-48.7105,216,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_ROE,1,-19.5139,221,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_S_RD_RATE,1,40.3412,216,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_G_CAPITAL_ACCUMULATION,1,14.8545,93,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_G_CASH_CURRENT_LIABILITY,1,12.0678,95,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_G_CURRENT_ASSET_TURNOVER,1,1.0778,92,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_G_QUICK_RATIO,1,86.6486,92,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00666.HK,REPT BATTERO,2025,Q_G_REVENUE_GROWTH,1,36.7392,90,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_S_PAY_PER_EMPLOYEE,1,17.8718,58,0.95,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00666.HK,REPT BATTERO,2025,Q_S_RD_RATE,1,3.1509,90,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_ASSET_TURNOVER,1,0.0749,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_CAPITAL_ACCUMULATION,1,28.2966,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.4605,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_DEBT_ASSET_RATE,1,72.0947,125,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_EBITDA_INTEREST,1,1.1947,121,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_REVENUE_GROWTH,1,10.3552,121,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_ROA,1,2.5657,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_ROE,1,0.1237,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_CAPITAL_ACCUMULATION,1,6.3508,92,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.3061,91,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_EBITDA_INTEREST,1,5.8245,89,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_REVENUE_GROWTH,1,-10.9203,89,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_AR_TURNOVER,1,38.6125,112,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_CAPITAL_ACCUMULATION,1,-4.0434,113,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_CURRENT_ASSET_TURNOVER,1,0.2435,112,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_EBITDA_INTEREST,1,0.0532,110,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_ROE,1,-2.7736,113,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_G_CAPITAL_ACCUMULATION,1,7.4525,79,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_G_EBITDA_INTEREST,1,5.5978,77,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_G_REVENUE_GROWTH,1,-29.8295,77,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_G_ROE,1,8.4786,79,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_S_RD_RATE,1,3.7419,77,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_CAPITAL_ACCUMULATION,1,11.4108,87,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_DEBT_ASSET_RATE,1,67.3544,87,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_EBITDA_INTEREST,1,6.0669,84,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_ROA,1,6.271,86,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_ROE,1,13.0179,87,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00931.HK,CHINA HK POWER,2026,Q_G_CAPITAL_ACCUMULATION,1,9.2322,73,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00931.HK,CHINA HK POWER,2026,Q_G_CURRENT_ASSET_TURNOVER,1,1.5811,72,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00931.HK,CHINA HK POWER,2026,Q_G_EBITDA_INTEREST,1,-4.3946,70,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00931.HK,CHINA HK POWER,2026,Q_G_QUICK_RATIO,1,49.1152,72,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00931.HK,CHINA HK POWER,2026,Q_G_REVENUE_GROWTH,1,14.1914,70,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00934.HK,SINOPEC KANTONS,2025,Q_G_CAPITAL_ACCUMULATION,1,3.7153,88,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00934.HK,SINOPEC KANTONS,2025,Q_G_CASH_CURRENT_LIABILITY,1,160.858,91,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00934.HK,SINOPEC KANTONS,2025,Q_G_DEBT_ASSET_RATE,1,2.0542,88,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00951.HK,CHAOWEI POWER,2025,Q_G_EBITDA_INTEREST,1,2.5075,88,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00951.HK,CHAOWEI POWER,2025,Q_G_REVENUE_GROWTH,1,8.0639,8,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_AR_TURNOVER,1,2.5475,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_ASSET_TURNOVER,1,0.3665,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_CAPITAL_ACCUMULATION,1,1.5359,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_CASH_CURRENT_LIABILITY,1,42.6828,80,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_CURRENT_ASSET_TURNOVER,1,1.1039,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_DEBT_ASSET_RATE,1,38.6178,77,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_OPERATING_MARGIN,1,6.993,74,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_OPERATING_PROFIT_GROWTH,1,-37.3009,74,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_QUICK_RATIO,1,139.591,77,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00968.HK,XINYI SOLAR,2025,Q_G_REVENUE_GROWTH,1,-4.8367,74,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_ROE,1,1.9023,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_TWO_FUNDS_RATE,1,47.3067,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00975.HK,MONGOL MINING,2025,Q_G_CAPITAL_ACCUMULATION,1,-0.8663,83,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00975.HK,MONGOL MINING,2025,Q_G_CASH_CURRENT_LIABILITY,1,57.4024,85,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00975.HK,MONGOL MINING,2025,Q_G_CURRENT_ASSET_TURNOVER,1,1.9099,83,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00975.HK,MONGOL MINING,2025,Q_G_EBITDA_INTEREST,1,1.5362,82,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00975.HK,MONGOL MINING,2025,Q_G_OPERATING_MARGIN,1,9.5662,82,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00975.HK,MONGOL MINING,2025,Q_G_OPERATING_PROFIT_GROWTH,1,-78.6145,82,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00975.HK,MONGOL MINING,2025,Q_G_QUICK_RATIO,1,78.1829,83,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00975.HK,MONGOL MINING,2025,Q_G_REVENUE_GROWTH,1,-20.8158,82,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00975.HK,MONGOL MINING,2025,Q_G_ROE,1,1.0088,83,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
01080.HK,SHENGLI PIPE,2025,Q_G_EBITDA_INTEREST,1,-0.4736,110,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
